,RCH1_0,RCH1_1,RCH1_2,RCH1_3,RCH1_4,RCH1_5,RCH1_6,RCH1_7,RCH1_8,RCH1_9,RCH1_10,RCH2_0,RCH2_1,RCH2_2,RCH2_3,RCH2_4,RCH2_5,RCH2_6,RCH2_7,RCH2_8,RCH2_9,RCH2_10,RCH3_0,RCH3_1,RCH3_2,RCH3_3,RCH3_4,RCH3_5,RCH3_6,RCH3_7,RCH3_8,RCH3_9,RCH3_10,RCH4_0,RCH4_1,RCH4_2,RCH4_3,RCH4_4,RCH4_5,RCH4_6,RCH4_7,RCH4_8,RCH4_9,RCH4_10,RCH5_0,RCH5_1,RCH5_2,RCH5_3,RCH5_4,RCH5_5,RCH5_6,RCH5_7,RCH5_8,RCH5_9,RCH5_10
18,0.0108,0.15442,0.298516,0.442124,0.585732,0.729828,0.873435,1.01704,1.16114,1.30524,1.44933,0.0108,0.177378,0.343943,0.51002,0.676585,0.842662,1.00825,1.17433,1.34089,1.50697,1.67403,0.0284,0.868551,1.69651,2.51187,3.19094,3.93351,4.71908,5.52077,6.3249,7.12561,7.92046,0.0289,0.868551,1.697,2.52555,3.35704,4.19342,5.0337,5.87642,6.71622,7.54819,8.37089,0.0284,0.868551,1.697,2.52506,3.35704,4.1939,5.0337,5.87642,6.71573,7.54722,8.3704
19,0.0069,0.174447,0.341989,0.509532,0.678051,0.846081,1.01509,1.1841,1.3531,1.5226,1.69309,0.0069,0.223782,0.441147,0.659001,0.876366,1.09471,1.31305,1.53188,1.75171,1.97204,2.19286,0.0069,0.209616,0.412328,0.615528,0.818728,1.02193,1.2261,1.43028,1.63495,1.84063,2.04679,0.0069,0.235993,0.46557,0.695147,0.925212,1.15577,1.38681,1.61932,1.85235,2.08636,2.32135,0.0069,0.271162,0.534932,0.799678,1.06589,1.3321,1.59831,1.86652,2.1357,2.40586,2.67749
20,0.0069,0.173959,0.341501,0.508555,0.676585,0.844128,1.01216,1.18068,1.3492,1.51772,1.68722,0.00642,0.221339,0.436262,0.650697,0.866597,1.08201,1.29742,1.5143,1.73119,1.94859,2.16599,0.00642,0.214501,0.421609,0.629693,0.837778,1.04586,1.25444,1.4635,1.67355,1.88362,2.09369,0.0069,0.238436,0.470455,0.702962,0.93547,1.16847,1.40195,1.63642,1.87238,2.10834,2.34577,0.00642,0.27507,0.544701,0.813843,1.08396,1.35359,1.6242,1.89632,2.16892,2.44299,2.71755
21,0.0069,0.174936,0.343455,0.511485,0.680982,0.849501,1.01851,1.18752,1.3575,1.52748,1.69797,0.0069,0.22427,0.442124,0.659978,0.87832,1.09617,1.315,1.53432,1.75415,1.97497,2.19579,0.0069,0.211082,0.415259,0.619924,0.825078,1.03023,1.23539,1.44152,1.64765,1.85479,2.06193,0.0069,0.238924,0.470943,0.703451,0.936447,1.16895,1.40244,1.63691,1.87238,2.10785,2.34479,0.0069,0.26872,0.531512,0.794793,1.05807,1.32282,1.58708,1.85235,2.1186,2.38632,2.65453
22,0.00642,0.172493,0.33857,0.504647,0.670724,0.837778,1.00385,1.17042,1.33796,1.5055,1.67306,0.00642,0.221828,0.437239,0.652651,0.868551,1.08445,1.30035,1.51723,1.7351,1.9525,2.17039,0.00642,0.21157,0.416235,0.620901,0.826543,1.0317,1.23734,1.44396,1.6501,1.85724,2.06535,0.0069,0.241855,0.477293,0.71322,0.949635,1.18556,1.42295,1.66084,1.89925,2.13912,2.37899,0.00642,0.272139,0.537374,0.803585,1.0698,1.3365,1.60369,1.87189,2.14059,2.41075,2.68188
23,0.00642,0.175913,0.34492,0.513439,0.682935,0.852431,1.02193,1.19191,1.36238,1.53335,1.70481,0.0069,0.218409,0.429912,0.641905,0.853897,1.06638,1.27935,1.49232,1.70579,1.92075,2.13521,0.0069,0.211082,0.415747,0.620412,0.825566,1.03072,1.23685,1.44298,1.64912,1.85675,2.06437,0.0069,0.240389,0.474362,0.708335,0.942797,1.17775,1.41318,1.64912,1.88655,2.12446,2.36385,0.00642,0.268232,0.529558,0.791862,1.05514,1.31793,1.58122,1.846,2.11127,2.37753,2.64524
24,0.0069,0.176401,0.346874,0.516859,0.687331,0.857804,1.02828,1.19973,1.37118,1.54312,1.71507,0.0069,0.215478,0.423562,0.632135,0.841197,1.05075,1.2603,1.47033,1.68039,1.89192,2.10297,0.0069,0.210593,0.415259,0.619924,0.825078,1.02974,1.23539,1.44152,1.64765,1.85479,2.06193,0.00642,0.242832,0.47827,0.714685,0.951589,1.18849,1.42637,1.66475,1.90462,2.14449,2.38583,0.00642,0.269209,0.531512,0.794793,1.05807,1.32233,1.58659,1.85235,2.11763,2.38485,2.65355
25,0.0069,0.175913,0.344432,0.513439,0.682447,0.851943,1.02144,1.19142,1.3619,1.53237,1.70335,0.0069,0.215478,0.424051,0.632135,0.841197,1.05075,1.25981,1.47033,1.68087,1.89192,2.10346,0.0069,0.210593,0.414282,0.61797,0.822635,1.02681,1.23197,1.43712,1.64277,1.84942,2.05607,0.0069,0.239413,0.472409,0.705405,0.939377,1.17384,1.4083,1.64472,1.88117,2.11909,2.35847,0.0069,0.265789,0.525162,0.784535,1.04489,1.30572,1.56656,1.8289,2.09222,2.35652,2.62228
26,0.00642,0.178843,0.351759,0.524674,0.697589,0.870993,1.04391,1.2178,1.3912,1.56607,1.74048,0.0069,0.216455,0.426005,0.635555,0.845593,1.05563,1.26665,1.47766,1.68869,1.90072,2.11323,0.0069,0.206686,0.406955,0.607712,0.807981,1.00923,1.21047,1.41221,1.61394,1.81718,2.01992,0.00642,0.235505,0.465082,0.693681,0.923747,1.15381,1.38437,1.6159,1.84795,2.0805,2.31451,0.00642,0.260416,0.513439,0.767928,1.02193,1.2769,1.53188,1.78835,2.04532,2.30278,2.5617
27,0.0103,0.149047,0.288259,0.426982,0.566193,0.705893,0.845104,0.984316,1.12402,1.2642,1.40488,0.0113,0.178355,0.345897,0.512951,0.680982,0.849012,1.01704,1.18507,1.35457,1.52309,1.6926,0.0108,0.172982,0.336128,0.498785,0.661932,0.824589,0.988224,1.15137,1.31598,1.4801,1.64423,0.0113,0.189101,0.367389,0.545189,0.723966,0.902254,1.08152,1.26127,1.44103,1.62176,1.80203,0.0123,0.202778,0.394255,0.585732,0.777697,0.970151,1.1626,1.35555,1.54898,1.74292,1.93736
